[4811.9629, 'N', 300.9371, 'W', 171731.0]
[4811.963, 'N', 300.9372, 'W', 171732.0]
[4811.963, 'N', 300.9372, 'W', 171733.0]
[4811.9637, 'N', 300.9371, 'W', 171734.0]
[4811.9644, 'N', 300.9365, 'W', 171735.0]
[4811.9648, 'N', 300.9355, 'W', 171736.0]
[4811.9648, 'N', 300.9344, 'W', 171737.0]
[4811.9646, 'N', 300.9333, 'W', 171738.0]
[4811.9642, 'N', 300.9323, 'W', 171739.0]
[4811.9639, 'N', 300.9314, 'W', 171740.0]
[4811.9635, 'N', 300.9304, 'W', 171741.0]
[4811.9632, 'N', 300.9295, 'W', 171742.0]
[4811.9629, 'N', 300.9286, 'W', 171743.0]
[4811.9624, 'N', 300.9278, 'W', 171744.0]
[4811.962, 'N', 300.9269, 'W', 171745.0]
[4811.9616, 'N', 300.9259, 'W', 171746.0]
[4811.9613, 'N', 300.925, 'W', 171747.0]
[4811.9609, 'N', 300.9241, 'W', 171748.0]
[4811.9605, 'N', 300.9232, 'W', 171749.0]
[4811.9602, 'N', 300.9223, 'W', 171750.0]
[4811.96, 'N', 300.9212, 'W', 171751.0]
[4811.9596, 'N', 300.9203, 'W', 171752.0]
[4811.9593, 'N', 300.9194, 'W', 171753.0]
[4811.9589, 'N', 300.9185, 'W', 171754.0]
[4811.947, 'N', 300.8894, 'W', 171827.0]
[4811.9392, 'N', 300.8947, 'W', 172035.0]
[4811.9392, 'N', 300.8947, 'W', 172036.0]
[4811.9392, 'N', 300.8947, 'W', 172037.0]
[4811.9392, 'N', 300.8947, 'W', 172038.0]
[4811.9392, 'N', 300.8947, 'W', 172039.0]
[4811.9392, 'N', 300.8947, 'W', 172040.0]
[4811.9392, 'N', 300.8947, 'W', 172041.0]
[4811.9392, 'N', 300.8947, 'W', 172042.0]
[4811.9392, 'N', 300.8947, 'W', 172043.0]
[4811.9391, 'N', 300.8947, 'W', 172044.0]
[4811.939, 'N', 300.8949, 'W', 172045.0]
[4811.9386, 'N', 300.8957, 'W', 172046.0]
[4811.9383, 'N', 300.8965, 'W', 172047.0]
[4811.9381, 'N', 300.8975, 'W', 172048.0]
[4811.9389, 'N', 300.9008, 'W', 172107.0]
[4811.9389, 'N', 300.9008, 'W', 172108.0]
[4811.9389, 'N', 300.9008, 'W', 172109.0]
[4811.939, 'N', 300.9009, 'W', 172110.0]
[4811.9399, 'N', 300.9007, 'W', 172111.0]
[4811.9405, 'N', 300.9, 'W', 172112.0]
[4811.941, 'N', 300.8988, 'W', 172113.0]
[4811.9411, 'N', 300.8974, 'W', 172114.0]
[4811.941, 'N', 300.8961, 'W', 172115.0]
[4811.9408, 'N', 300.8953, 'W', 172116.0]
[4811.9408, 'N', 300.8948, 'W', 172117.0]
[4811.9416, 'N', 300.8942, 'W', 172239.0]
[4811.9416, 'N', 300.8942, 'W', 172240.0]
[4811.9416, 'N', 300.8943, 'W', 172241.0]
[4811.9421, 'N', 300.8945, 'W', 172242.0]
[4811.9428, 'N', 300.8946, 'W', 172243.0]
[4811.9435, 'N', 300.8943, 'W', 172244.0]
[4811.9441, 'N', 300.894, 'W', 172245.0]
[4811.9446, 'N', 300.8934, 'W', 172246.0]
[4811.945, 'N', 300.8931, 'W', 172247.0]
[4811.9451, 'N', 300.8929, 'W', 172248.0]
[4811.9454, 'N', 300.8925, 'W', 172249.0]
[4811.9456, 'N', 300.8937, 'W', 172401.0]
[4811.9456, 'N', 300.8937, 'W', 172402.0]
[4811.9456, 'N', 300.8937, 'W', 172403.0]
[4811.9456, 'N', 300.8937, 'W', 172404.0]
[4811.9455, 'N', 300.8936, 'W', 172405.0]
[4811.9455, 'N', 300.8934, 'W', 172406.0]
[4811.9455, 'N', 300.8933, 'W', 172407.0]
[4811.9455, 'N', 300.8931, 'W', 172408.0]
[4811.9454, 'N', 300.8929, 'W', 172409.0]
[4811.9454, 'N', 300.8928, 'W', 172410.0]
[4811.9452, 'N', 300.8928, 'W', 172411.0]
[4811.9452, 'N', 300.8927, 'W', 172412.0]
[4811.9451, 'N', 300.8927, 'W', 172413.0]
[4811.945, 'N', 300.8925, 'W', 172414.0]
[4811.9449, 'N', 300.8924, 'W', 172415.0]
[4811.945, 'N', 300.8917, 'W', 172504.0]
[4811.9451, 'N', 300.8917, 'W', 172505.0]
[4811.9451, 'N', 300.8917, 'W', 172506.0]
[4811.9451, 'N', 300.8917, 'W', 172507.0]
[4811.9451, 'N', 300.8917, 'W', 172508.0]
[4811.9451, 'N', 300.8916, 'W', 172537.0]
[4811.9451, 'N', 300.8916, 'W', 172538.0]
[4811.9451, 'N', 300.8916, 'W', 172549.0]
[4811.9453, 'N', 300.8917, 'W', 172550.0]
[4811.9453, 'N', 300.8917, 'W', 172551.0]
[4811.9454, 'N', 300.8917, 'W', 172552.0]
[4811.9454, 'N', 300.891, 'W', 172615.0]
[4811.9451, 'N', 300.8865, 'W', 172747.0]
[4811.9451, 'N', 300.8865, 'W', 172748.0]
[4811.9451, 'N', 300.8865, 'W', 172759.0]
[4811.9451, 'N', 300.8865, 'W', 172800.0]
[4811.9447, 'N', 300.8865, 'W', 172923.0]
[4811.9447, 'N', 300.8865, 'W', 172924.0]
[4811.9447, 'N', 300.8865, 'W', 172925.0]
[4811.9447, 'N', 300.8865, 'W', 172926.0]
[4811.9447, 'N', 300.8865, 'W', 172927.0]
[4811.9447, 'N', 300.8865, 'W', 172928.0]
[4811.9447, 'N', 300.8865, 'W', 172929.0]
[4811.9448, 'N', 300.8865, 'W', 172930.0]
[4811.9448, 'N', 300.8865, 'W', 172931.0]
[4811.9449, 'N', 300.8882, 'W', 173005.0]
[4811.9449, 'N', 300.8882, 'W', 173006.0]
[4811.9449, 'N', 300.8882, 'W', 173007.0]
[4811.9449, 'N', 300.8882, 'W', 173008.0]
[4811.9449, 'N', 300.8882, 'W', 173009.0]
[4811.9452, 'N', 300.8887, 'W', 173010.0]
[4811.9457, 'N', 300.8898, 'W', 173011.0]
[4811.9461, 'N', 300.8908, 'W', 173012.0]
[4811.9466, 'N', 300.8919, 'W', 173013.0]
[4811.9471, 'N', 300.8929, 'W', 173014.0]
[4811.9477, 'N', 300.8939, 'W', 173015.0]
[4811.9483, 'N', 300.8949, 'W', 173016.0]
[4811.949, 'N', 300.8958, 'W', 173017.0]
[4811.9496, 'N', 300.8968, 'W', 173018.0]
[4811.9502, 'N', 300.8977, 'W', 173019.0]
[4811.9508, 'N', 300.8987, 'W', 173020.0]
[4811.9515, 'N', 300.8994, 'W', 173021.0]
[4811.9522, 'N', 300.9001, 'W', 173022.0]
[4811.9528, 'N', 300.9008, 'W', 173023.0]
[4811.9534, 'N', 300.9014, 'W', 173024.0]
[4811.9541, 'N', 300.902, 'W', 173025.0]
[4811.9548, 'N', 300.9026, 'W', 173026.0]
[4811.9555, 'N', 300.9033, 'W', 173027.0]
[4811.9562, 'N', 300.9039, 'W', 173028.0]
[4811.9568, 'N', 300.9046, 'W', 173029.0]
[4811.9574, 'N', 300.9053, 'W', 173030.0]
[4811.958, 'N', 300.906, 'W', 173031.0]
[4811.9587, 'N', 300.9067, 'W', 173032.0]
[4811.9593, 'N', 300.9074, 'W', 173033.0]
[4811.9599, 'N', 300.9078, 'W', 173034.0]
[4811.9605, 'N', 300.9086, 'W', 173035.0]
[4811.9612, 'N', 300.9093, 'W', 173036.0]
[4811.9617, 'N', 300.91, 'W', 173037.0]
[4811.9622, 'N', 300.9108, 'W', 173038.0]
[4811.9628, 'N', 300.9116, 'W', 173039.0]
[4811.9633, 'N', 300.9124, 'W', 173040.0]
[4811.9638, 'N', 300.9131, 'W', 173041.0]
[4811.9644, 'N', 300.9139, 'W', 173042.0]
[4811.9649, 'N', 300.9147, 'W', 173043.0]
[4811.9654, 'N', 300.9155, 'W', 173044.0]
[4811.9659, 'N', 300.9163, 'W', 173045.0]
