[4812.0154, 'N', 300.9509, 'W', 160628.0]
[4812.0153, 'N', 300.9519, 'W', 160629.0]
[4812.0152, 'N', 300.9527, 'W', 160630.0]
[4812.015, 'N', 300.9535, 'W', 160631.0]
[4812.0147, 'N', 300.9542, 'W', 160632.0]
[4812.0143, 'N', 300.955, 'W', 160633.0]
[4812.0138, 'N', 300.9559, 'W', 160634.0]
[4812.0131, 'N', 300.9568, 'W', 160635.0]
[4812.0123, 'N', 300.9574, 'W', 160636.0]
[4812.0113, 'N', 300.9579, 'W', 160637.0]
[4812.0102, 'N', 300.9582, 'W', 160638.0]
[4812.009, 'N', 300.9584, 'W', 160639.0]
[4812.0079, 'N', 300.9584, 'W', 160640.0]
[4812.0068, 'N', 300.9583, 'W', 160641.0]
[4812.0057, 'N', 300.9581, 'W', 160642.0]
[4812.0046, 'N', 300.9577, 'W', 160643.0]
[4812.0036, 'N', 300.9571, 'W', 160644.0]
[4812.0026, 'N', 300.9564, 'W', 160645.0]
[4812.0018, 'N', 300.9555, 'W', 160646.0]
[4812.001, 'N', 300.9546, 'W', 160647.0]
[4812.0003, 'N', 300.9535, 'W', 160648.0]
[4811.9996, 'N', 300.9523, 'W', 160649.0]
[4811.999, 'N', 300.951, 'W', 160650.0]
[4811.9985, 'N', 300.9497, 'W', 160651.0]
[4811.998, 'N', 300.9482, 'W', 160652.0]
[4811.9977, 'N', 300.9468, 'W', 160653.0]
[4811.9973, 'N', 300.9453, 'W', 160654.0]
[4811.9972, 'N', 300.9437, 'W', 160655.0]
[4811.9972, 'N', 300.9421, 'W', 160656.0]
[4811.9973, 'N', 300.9405, 'W', 160657.0]
[4811.9974, 'N', 300.939, 'W', 160658.0]
[4811.9977, 'N', 300.9374, 'W', 160659.0]
[4811.9981, 'N', 300.9359, 'W', 160700.0]
[4811.9986, 'N', 300.9346, 'W', 160701.0]
[4811.9992, 'N', 300.9335, 'W', 160702.0]
[4811.9998, 'N', 300.9326, 'W', 160703.0]
[4812.0005, 'N', 300.9318, 'W', 160704.0]
[4812.0012, 'N', 300.9312, 'W', 160705.0]
[4812.002, 'N', 300.9307, 'W', 160706.0]
[4812.003, 'N', 300.9301, 'W', 160707.0]
[4812.0041, 'N', 300.93, 'W', 160708.0]
[4812.0052, 'N', 300.93, 'W', 160709.0]
[4812.0063, 'N', 300.9301, 'W', 160710.0]
[4812.0073, 'N', 300.9303, 'W', 160711.0]
[4812.0083, 'N', 300.9307, 'W', 160712.0]
[4812.0094, 'N', 300.9312, 'W', 160713.0]
[4812.0104, 'N', 300.9318, 'W', 160714.0]
[4812.0113, 'N', 300.9326, 'W', 160715.0]
[4812.0122, 'N', 300.9335, 'W', 160716.0]
[4812.013, 'N', 300.9344, 'W', 160717.0]
[4812.0138, 'N', 300.9355, 'W', 160718.0]
[4812.0145, 'N', 300.9367, 'W', 160719.0]
[4812.0152, 'N', 300.9379, 'W', 160720.0]
[4812.0157, 'N', 300.9393, 'W', 160721.0]
[4812.0162, 'N', 300.9408, 'W', 160722.0]
[4812.0166, 'N', 300.9422, 'W', 160723.0]
[4812.0168, 'N', 300.9437, 'W', 160724.0]
[4812.017, 'N', 300.9453, 'W', 160725.0]
[4812.0171, 'N', 300.9467, 'W', 160726.0]
[4812.0171, 'N', 300.9482, 'W', 160727.0]
[4812.017, 'N', 300.9496, 'W', 160728.0]
[4812.0169, 'N', 300.9509, 'W', 160729.0]
[4812.0167, 'N', 300.9521, 'W', 160730.0]
[4812.0164, 'N', 300.9532, 'W', 160731.0]
[4812.0159, 'N', 300.9543, 'W', 160732.0]
[4812.0153, 'N', 300.9554, 'W', 160733.0]
[4812.0147, 'N', 300.9565, 'W', 160734.0]
[4812.014, 'N', 300.9574, 'W', 160735.0]
[4812.0131, 'N', 300.9583, 'W', 160736.0]
[4812.0123, 'N', 300.9589, 'W', 160737.0]
[4812.0112, 'N', 300.9592, 'W', 160738.0]
[4812.0101, 'N', 300.9594, 'W', 160739.0]
[4812.009, 'N', 300.9593, 'W', 160740.0]
[4812.0079, 'N', 300.9591, 'W', 160741.0]
[4812.0068, 'N', 300.9588, 'W', 160742.0]
[4812.0058, 'N', 300.9584, 'W', 160743.0]
[4812.0048, 'N', 300.9577, 'W', 160744.0]
[4812.0038, 'N', 300.957, 'W', 160745.0]
[4812.0029, 'N', 300.9562, 'W', 160746.0]
[4812.0021, 'N', 300.9552, 'W', 160747.0]
[4812.0014, 'N', 300.9542, 'W', 160748.0]
[4812.0007, 'N', 300.9531, 'W', 160749.0]
[4812.0002, 'N', 300.9518, 'W', 160750.0]
[4811.9996, 'N', 300.9505, 'W', 160751.0]
[4811.9992, 'N', 300.9491, 'W', 160752.0]
[4811.9989, 'N', 300.9477, 'W', 160753.0]
[4811.9986, 'N', 300.9462, 'W', 160754.0]
[4811.9985, 'N', 300.9446, 'W', 160755.0]
[4811.9985, 'N', 300.943, 'W', 160756.0]
[4811.9986, 'N', 300.9414, 'W', 160757.0]
[4811.9988, 'N', 300.9398, 'W', 160758.0]
[4811.9991, 'N', 300.9382, 'W', 160759.0]
[4811.9995, 'N', 300.9367, 'W', 160800.0]
[4812.0, 'N', 300.9352, 'W', 160801.0]
[4812.0007, 'N', 300.934, 'W', 160802.0]
[4812.0013, 'N', 300.9329, 'W', 160803.0]
[4812.002, 'N', 300.932, 'W', 160804.0]
[4812.0026, 'N', 300.9313, 'W', 160805.0]
[4812.0033, 'N', 300.9308, 'W', 160806.0]
[4812.004, 'N', 300.9304, 'W', 160807.0]
[4812.0047, 'N', 300.9301, 'W', 160808.0]
[4812.0056, 'N', 300.9302, 'W', 160809.0]
[4812.0064, 'N', 300.9303, 'W', 160810.0]
[4812.0073, 'N', 300.9305, 'W', 160811.0]
[4812.0083, 'N', 300.9309, 'W', 160812.0]
[4812.0093, 'N', 300.9314, 'W', 160813.0]
[4812.0102, 'N', 300.932, 'W', 160814.0]
[4812.0111, 'N', 300.9328, 'W', 160815.0]
[4812.012, 'N', 300.9336, 'W', 160816.0]
[4812.0129, 'N', 300.9346, 'W', 160817.0]
[4812.0136, 'N', 300.9356, 'W', 160818.0]
[4812.0144, 'N', 300.9368, 'W', 160819.0]
[4812.015, 'N', 300.9381, 'W', 160820.0]
[4812.0156, 'N', 300.9394, 'W', 160821.0]
[4812.0161, 'N', 300.9408, 'W', 160822.0]
[4812.0166, 'N', 300.9422, 'W', 160823.0]
[4812.0169, 'N', 300.9436, 'W', 160824.0]
[4812.017, 'N', 300.9451, 'W', 160825.0]
[4812.0171, 'N', 300.9466, 'W', 160826.0]
[4812.0171, 'N', 300.9481, 'W', 160827.0]
[4812.0171, 'N', 300.9494, 'W', 160828.0]
[4812.017, 'N', 300.9507, 'W', 160829.0]
[4812.0168, 'N', 300.952, 'W', 160830.0]
[4812.0165, 'N', 300.9531, 'W', 160831.0]
[4812.0161, 'N', 300.9543, 'W', 160832.0]
[4812.0155, 'N', 300.9554, 'W', 160833.0]
[4812.0149, 'N', 300.9564, 'W', 160834.0]
[4812.0141, 'N', 300.9573, 'W', 160835.0]
[4812.0133, 'N', 300.958, 'W', 160836.0]
[4812.0123, 'N', 300.9585, 'W', 160837.0]
[4812.0113, 'N', 300.9588, 'W', 160838.0]
[4812.0103, 'N', 300.959, 'W', 160839.0]
[4812.0093, 'N', 300.9588, 'W', 160840.0]
[4812.0081, 'N', 300.9585, 'W', 160841.0]
[4812.007, 'N', 300.9582, 'W', 160842.0]
[4812.0059, 'N', 300.9577, 'W', 160843.0]
[4812.0049, 'N', 300.9571, 'W', 160844.0]
[4812.004, 'N', 300.9563, 'W', 160845.0]
[4812.0031, 'N', 300.9555, 'W', 160846.0]
[4812.0023, 'N', 300.9545, 'W', 160847.0]
[4812.0015, 'N', 300.9536, 'W', 160848.0]
[4812.0007, 'N', 300.9524, 'W', 160849.0]
[4812.0001, 'N', 300.9512, 'W', 160850.0]
[4811.9995, 'N', 300.95, 'W', 160851.0]
[4811.999, 'N', 300.9486, 'W', 160852.0]
[4811.9987, 'N', 300.9472, 'W', 160853.0]
[4811.9984, 'N', 300.9458, 'W', 160854.0]
[4811.9983, 'N', 300.9443, 'W', 160855.0]
[4811.9982, 'N', 300.9427, 'W', 160856.0]
[4811.9982, 'N', 300.9412, 'W', 160857.0]
[4811.9983, 'N', 300.9396, 'W', 160858.0]
[4811.9985, 'N', 300.9382, 'W', 160859.0]
[4811.9989, 'N', 300.9367, 'W', 160900.0]
[4811.9994, 'N', 300.9353, 'W', 160901.0]
[4812.0, 'N', 300.9341, 'W', 160902.0]
[4812.0007, 'N', 300.933, 'W', 160903.0]
[4812.0014, 'N', 300.9322, 'W', 160904.0]
[4812.002, 'N', 300.9315, 'W', 160905.0]
[4812.0028, 'N', 300.931, 'W', 160906.0]
[4812.0035, 'N', 300.9306, 'W', 160907.0]
[4812.0043, 'N', 300.9303, 'W', 160908.0]
[4812.0052, 'N', 300.9302, 'W', 160909.0]
[4812.0062, 'N', 300.9302, 'W', 160910.0]
[4812.0071, 'N', 300.9304, 'W', 160911.0]
[4812.008, 'N', 300.9308, 'W', 160912.0]
[4812.009, 'N', 300.9313, 'W', 160913.0]
[4812.0099, 'N', 300.932, 'W', 160914.0]
[4812.0109, 'N', 300.9328, 'W', 160915.0]
[4812.0117, 'N', 300.9338, 'W', 160916.0]
[4812.0126, 'N', 300.9347, 'W', 160917.0]
[4812.0133, 'N', 300.9358, 'W', 160918.0]
[4812.014, 'N', 300.937, 'W', 160919.0]
[4812.0146, 'N', 300.9383, 'W', 160920.0]
[4812.0152, 'N', 300.9396, 'W', 160921.0]
[4812.0157, 'N', 300.941, 'W', 160922.0]
[4812.0161, 'N', 300.9425, 'W', 160923.0]
[4812.0165, 'N', 300.9439, 'W', 160924.0]
[4812.0167, 'N', 300.9453, 'W', 160925.0]
[4812.0169, 'N', 300.9468, 'W', 160926.0]
[4812.017, 'N', 300.9482, 'W', 160927.0]
[4812.0175, 'N', 300.9516, 'W', 160944.0]
[4812.0176, 'N', 300.9516, 'W', 160945.0]
[4812.0177, 'N', 300.9516, 'W', 160946.0]
[4812.0178, 'N', 300.9518, 'W', 160947.0]
[4812.0177, 'N', 300.9526, 'W', 160948.0]
[4812.017, 'N', 300.953, 'W', 160949.0]
[4812.0162, 'N', 300.9527, 'W', 160950.0]
[4812.0154, 'N', 300.9519, 'W', 160951.0]
[4812.0147, 'N', 300.951, 'W', 160952.0]
[4812.014, 'N', 300.9502, 'W', 160953.0]
[4812.0133, 'N', 300.9495, 'W', 160954.0]
[4812.0125, 'N', 300.9488, 'W', 160955.0]
[4812.0118, 'N', 300.9481, 'W', 160956.0]
[4812.011, 'N', 300.9474, 'W', 160957.0]
[4812.0103, 'N', 300.9467, 'W', 160958.0]
[4812.0096, 'N', 300.9459, 'W', 160959.0]
[4812.0088, 'N', 300.9452, 'W', 161000.0]
[4812.0081, 'N', 300.9444, 'W', 161001.0]
[4812.0074, 'N', 300.9436, 'W', 161002.0]
[4812.0067, 'N', 300.9429, 'W', 161003.0]
[4812.006, 'N', 300.9421, 'W', 161004.0]
[4812.0053, 'N', 300.9413, 'W', 161005.0]
[4812.0046, 'N', 300.9406, 'W', 161006.0]
[4812.0039, 'N', 300.9399, 'W', 161007.0]
[4812.0032, 'N', 300.9391, 'W', 161008.0]
[4812.0024, 'N', 300.9385, 'W', 161009.0]
[4812.0017, 'N', 300.9377, 'W', 161010.0]
[4812.001, 'N', 300.937, 'W', 161011.0]
[4812.0003, 'N', 300.9362, 'W', 161012.0]
[4811.9996, 'N', 300.9355, 'W', 161013.0]
[4811.9989, 'N', 300.9348, 'W', 161014.0]
[4811.9982, 'N', 300.9341, 'W', 161015.0]
[4811.9975, 'N', 300.9334, 'W', 161016.0]
[4811.9967, 'N', 300.9326, 'W', 161017.0]
[4811.996, 'N', 300.9319, 'W', 161018.0]
[4811.9953, 'N', 300.9312, 'W', 161019.0]
[4811.9946, 'N', 300.9306, 'W', 161020.0]
[4811.9939, 'N', 300.93, 'W', 161021.0]
[4811.9931, 'N', 300.9294, 'W', 161022.0]
[4811.9924, 'N', 300.9287, 'W', 161023.0]
[4811.9916, 'N', 300.928, 'W', 161024.0]
[4811.9909, 'N', 300.9273, 'W', 161025.0]
[4811.9901, 'N', 300.9265, 'W', 161026.0]
[4811.9894, 'N', 300.9258, 'W', 161027.0]
[4811.9887, 'N', 300.9251, 'W', 161028.0]
[4811.9879, 'N', 300.9245, 'W', 161029.0]
[4811.9872, 'N', 300.9238, 'W', 161030.0]
[4811.9864, 'N', 300.9231, 'W', 161031.0]
[4811.9856, 'N', 300.9224, 'W', 161032.0]
[4811.9848, 'N', 300.9218, 'W', 161033.0]
[4811.9841, 'N', 300.9211, 'W', 161034.0]
[4811.9834, 'N', 300.9204, 'W', 161035.0]
[4811.9826, 'N', 300.9197, 'W', 161036.0]
[4811.9818, 'N', 300.919, 'W', 161037.0]
[4811.9811, 'N', 300.9183, 'W', 161038.0]
[4811.9803, 'N', 300.9176, 'W', 161039.0]
