[4811.9889, 'N', 300.9416, 'W', 95554.0]
[4811.9889, 'N', 300.9411, 'W', 95555.0]
[4811.9888, 'N', 300.9407, 'W', 95556.0]
[4811.9888, 'N', 300.9402, 'W', 95557.0]
[4811.9888, 'N', 300.9398, 'W', 95558.0]
[4811.9889, 'N', 300.9393, 'W', 95559.0]
[4811.9889, 'N', 300.9389, 'W', 95600.0]
[4811.9889, 'N', 300.9385, 'W', 95601.0]
[4811.989, 'N', 300.938, 'W', 95602.0]
[4811.9891, 'N', 300.9376, 'W', 95603.0]
[4811.9891, 'N', 300.9372, 'W', 95604.0]
[4811.9892, 'N', 300.9368, 'W', 95605.0]
[4811.9893, 'N', 300.9364, 'W', 95606.0]
[4811.9894, 'N', 300.936, 'W', 95607.0]
[4811.9895, 'N', 300.9356, 'W', 95608.0]
[4811.9896, 'N', 300.9352, 'W', 95609.0]
[4811.9897, 'N', 300.9348, 'W', 95610.0]
[4811.9898, 'N', 300.9345, 'W', 95611.0]
[4811.9899, 'N', 300.9341, 'W', 95612.0]
[4811.99, 'N', 300.9337, 'W', 95613.0]
[4811.9901, 'N', 300.9333, 'W', 95614.0]
[4811.9903, 'N', 300.9329, 'W', 95615.0]
[4811.9904, 'N', 300.9326, 'W', 95616.0]
[4811.9905, 'N', 300.9322, 'W', 95617.0]
[4811.9906, 'N', 300.9319, 'W', 95618.0]
[4811.9907, 'N', 300.9315, 'W', 95619.0]
[4811.9908, 'N', 300.9312, 'W', 95620.0]
[4811.9909, 'N', 300.9309, 'W', 95621.0]
[4811.991, 'N', 300.9306, 'W', 95622.0]
[4811.9911, 'N', 300.9303, 'W', 95623.0]
[4811.9913, 'N', 300.93, 'W', 95624.0]
[4811.9914, 'N', 300.9297, 'W', 95625.0]
[4811.9916, 'N', 300.9294, 'W', 95626.0]
[4811.9917, 'N', 300.9292, 'W', 95627.0]
[4811.9919, 'N', 300.9289, 'W', 95628.0]
[4811.992, 'N', 300.9286, 'W', 95629.0]
[4811.9922, 'N', 300.9284, 'W', 95630.0]
[4811.9924, 'N', 300.9281, 'W', 95631.0]
[4811.9925, 'N', 300.9279, 'W', 95632.0]
[4811.9927, 'N', 300.9276, 'W', 95633.0]
[4811.9929, 'N', 300.9274, 'W', 95634.0]
[4811.9931, 'N', 300.9271, 'W', 95635.0]
[4811.9932, 'N', 300.9268, 'W', 95636.0]
[4811.9934, 'N', 300.9266, 'W', 95637.0]
[4811.9935, 'N', 300.9263, 'W', 95638.0]
[4811.9937, 'N', 300.9261, 'W', 95639.0]
[4811.9939, 'N', 300.9258, 'W', 95640.0]
[4811.9941, 'N', 300.9256, 'W', 95641.0]
[4811.9943, 'N', 300.9254, 'W', 95642.0]
[4811.9945, 'N', 300.9252, 'W', 95643.0]
[4811.9946, 'N', 300.925, 'W', 95644.0]
[4811.9948, 'N', 300.9248, 'W', 95645.0]
[4811.995, 'N', 300.9246, 'W', 95646.0]
[4811.9952, 'N', 300.9244, 'W', 95647.0]
[4811.9954, 'N', 300.9241, 'W', 95648.0]
[4811.9956, 'N', 300.9239, 'W', 95649.0]
